x y
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.696579559734878062e-01
2.000000000000000111e-01 8.844031844098905193e-01
3.000000000000000444e-01 1.249235741265639632e+00
4.000000000000000222e-01 1.568878765298192368e+00
5.000000000000000000e-01 1.847575166631029830e+00
6.000000000000000888e-01 2.088899396360171856e+00
7.000000000000000666e-01 2.295576157251157490e+00
8.000000000000000444e-01 2.469297148304380407e+00
9.000000000000000222e-01 2.610526145885066818e+00
1.000000000000000000e+00 2.718281828459045091e+00
