x y
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 4.957407442831407440e-02
2.000000000000000042e-02 9.855441125720645901e-02
2.999999999999999889e-02 1.469460245024941936e-01
4.000000000000000083e-02 1.947539427341671847e-01
5.000000000000000278e-02 2.419832064646572078e-01
5.999999999999999778e-02 2.886388655695907302e-01
7.000000000000000666e-02 3.347259767405270647e-01
8.000000000000000167e-02 3.802496009691684886e-01
8.999999999999999667e-02 4.252148010625169672e-01
1.000000000000000056e-01 4.696266391884383884e-01
1.100000000000000006e-01 5.134901744510831367e-01
1.199999999999999956e-01 5.568104604955999015e-01
1.300000000000000044e-01 5.995925431415659590e-01
1.400000000000000133e-01 6.418414580445479523e-01
1.499999999999999944e-01 6.835622283851927605e-01
1.600000000000000033e-01 7.247598625852409437e-01
1.700000000000000122e-01 7.654393520498383729e-01
1.799999999999999933e-01 8.056056689355167721e-01
1.900000000000000022e-01 8.452637639432004635e-01
2.000000000000000111e-01 8.844185641355853944e-01
2.099999999999999922e-01 9.230749707782291980e-01
2.200000000000000011e-01 9.612378572036788249e-01
2.300000000000000100e-01 9.989120666979534047e-01
2.399999999999999911e-01 1.036102410408691554e+00
2.500000000000000000e-01 1.072813665274260142e+00
2.600000000000000089e-01 1.109050571973115629e+00
2.700000000000000178e-01 1.144817832892697673e+00
2.800000000000000266e-01 1.180120110117128585e+00
2.899999999999999800e-01 1.214962023432978766e+00
2.999999999999999889e-01 1.249348148352355636e+00
3.099999999999999978e-01 1.283283014152559298e+00
3.200000000000000067e-01 1.316771101931545784e+00
3.300000000000000155e-01 1.349816842678424278e+00
3.400000000000000244e-01 1.382424615358212705e+00
3.500000000000000333e-01 1.414598745010061664e+00
3.599999999999999867e-01 1.446343500858156439e+00
3.699999999999999956e-01 1.477663094434491287e+00
3.800000000000000044e-01 1.508561677712706217e+00
3.900000000000000133e-01 1.539043341252171349e+00
4.000000000000000222e-01 1.569112112351487953e+00
4.100000000000000311e-01 1.598771953210580410e+00
4.199999999999999845e-01 1.628026759100529963e+00
4.299999999999999933e-01 1.656880356540310073e+00
4.400000000000000022e-01 1.685336501479560933e+00
4.500000000000000111e-01 1.713398877486543848e+00
4.600000000000000200e-01 1.741071093940404380e+00
4.700000000000000289e-01 1.768356684226862541e+00
4.799999999999999822e-01 1.795259103936449163e+00
4.899999999999999911e-01 1.821781729064391175e+00
5.000000000000000000e-01 1.847927854211246945e+00
5.100000000000000089e-01 1.873700690783380862e+00
5.200000000000000178e-01 1.899103365192363668e+00
5.300000000000000266e-01 1.924138917052373499e+00
5.400000000000000355e-01 1.948810297374664602e+00
5.500000000000000444e-01 1.973120366758165156e+00
5.600000000000000533e-01 1.997071893575256940e+00
5.700000000000000622e-01 2.020667552151782065e+00
5.799999999999999600e-01 2.043909920940309988e+00
5.899999999999999689e-01 2.066801480685697801e+00
5.999999999999999778e-01 2.089344612581957694e+00
6.099999999999999867e-01 2.111541596419450162e+00
6.199999999999999956e-01 2.133394608721400409e+00
6.300000000000000044e-01 2.154905720868731667e+00
6.400000000000000133e-01 2.176076897212206429e+00
6.500000000000000222e-01 2.196909993170845343e+00
6.600000000000000311e-01 2.217406753315596113e+00
6.700000000000000400e-01 2.237568809437207040e+00
6.800000000000000488e-01 2.257397678597254931e+00
6.900000000000000577e-01 2.276894761161265990e+00
7.000000000000000666e-01 2.296061338812856789e+00
7.099999999999999645e-01 2.314898572547818834e+00
7.199999999999999734e-01 2.333407500647048050e+00
7.299999999999999822e-01 2.351589036627222740e+00
7.399999999999999911e-01 2.369443967168115783e+00
7.500000000000000000e-01 2.386972950015415318e+00
7.600000000000000089e-01 2.404176511857921472e+00
7.700000000000000178e-01 2.421055046177970294e+00
7.800000000000000266e-01 2.437608811073929793e+00
7.900000000000000355e-01 2.453837927053591272e+00
8.000000000000000444e-01 2.469742374797285756e+00
8.100000000000000533e-01 2.485321992889511389e+00
8.200000000000000622e-01 2.500576475517885200e+00
8.300000000000000711e-01 2.515505370138178876e+00
8.399999999999999689e-01 2.530108075104219534e+00
8.499999999999999778e-01 2.544383837261393388e+00
8.599999999999999867e-01 2.558331749502498642e+00
8.699999999999999956e-01 2.571950748284667299e+00
8.800000000000000044e-01 2.585239611106063151e+00
8.900000000000000133e-01 2.598196953941048104e+00
9.000000000000000222e-01 2.610821228632493884e+00
9.100000000000000311e-01 2.623110720239902882e+00
9.200000000000000400e-01 2.635063544341978314e+00
9.300000000000000488e-01 2.646677644292273257e+00
9.400000000000000577e-01 2.657950788426530764e+00
9.500000000000000666e-01 2.668880567220303313e+00
9.599999999999999645e-01 2.679464390395433160e+00
9.699999999999999734e-01 2.689699483973938765e+00
9.799999999999999822e-01 2.699582887277862220e+00
9.899999999999999911e-01 2.709111449873572663e+00
1.000000000000000000e+00 2.718281828459045091e+00
